county,state,year,9th_to_12th_grade_no_diploma,associates_degree,bachelors_degree,graduate_or_professional_degree,high_school_graduate_(includes_equivalency),less_than_9th_grade,some_college_no_degree,married_couple_family,with_own_children_of_the_householder_under_18_years,male_householder_no_spouse/partner_present,female_householder_no_spouse/partner_present,foreign_born,native,females_15_years_and_over,males_15_years_and_over,american_indian_and_alaska_native,asian,black_or_african_american,native_hawaiian_and_other_pacific_islander,some_other_race,white,median_age_(years),sex_ratio_(males_per_100_females),mean_travel_time_to_work_(minutes),unemployment_rate,per_capita_income_(dollars),mean_household_income_(dollars),median_household_income_(dollars),mean_cash_public_assistance_income_(dollars),mean_earnings_(dollars),mean_retirement_income_(dollars),mean_social_security_income_(dollars),mean_supplemental_security_income_(dollars),homeowner_vacancy_rate,average_household_size_of_owner_occupied_unit,average_household_size_of_renter_occupied_unit,median_rooms,moved_in_1979_and_earlier,moved_in_1980_to_1989,moved_in_1990_to_1999,moved_in_2000_to_2009,moved_in_2010_to_2014,moved_in_2015_or_later,housing_units_with_a_mortgage,housing_units_without_a_mortgage,total_housing_units,10_to_19_units,1_unit_attached,1_unit_detached,2_units,20_or_more_units,3_or_4_units,5_to_9_units,boat_rv_van_etc_,mobile_home,average_household_size
Alamance County, North Carolina,2016,25.5,15.1,7.4,86.2,26.4,9.0,11.8,64.9,28.5,4.3,35.1,13257,91.1,28.9,36.3,12.1,8.7,156372.0,0.8,0.2,6.5,39.6,5.9,23.7,(X),24888,60609,45100,1922,59690,20361,18231,8686,0.8,2.39,2.44,5.4,10.1,7.1,12.5,25.1,28.9,16.3,26004,15015,69164,3.4,3.8,66.7,2.5,2.8,3.5,5.1,0.0,12.0,2.39
Brunswick County, North Carolina,2016,29.2,17.4,9.7,91.5,23.6,6.4,11.6,65.4,15.2,1.9,34.6,4361,95.2,18.3,22.5,4.7,3.2,119167.0,0.7,0.1,2.5,50.9,4.6,24.0,(X),30616,66132,50692,3502,61120,29493,21539,9924,3.9,2.31,2.35,5.0,3.0,5.7,10.6,34.2,28.8,17.7,24786,15682,85172,3.7,4.0,61.9,0.9,1.2,1.5,3.2,0.0,23.6,2.31
Buncombe County, North Carolina,2016,23.7,23.0,14.7,90.6,21.3,6.7,8.0,58.9,21.7,2.5,41.1,11803,94.3,29.2,35.1,6.3,3.7,250112.0,0.6,0.2,1.1,41.7,5.2,20.6,(X),29472,68923,50685,2478,67496,24516,18989,9645,1.9,2.48,2.31,5.5,7.2,5.5,11.3,25.6,32.0,18.4,38634,27471,117686,3.2,4.0,61.3,3.0,4.5,3.8,4.9,0.2,15.0,2.48
Burke County, North Carolina,2016,31.7,11.2,5.0,81.1,22.2,10.9,11.1,69.2,25.5,5.3,30.8,4150,94.7,18.7,35.4,5.8,2.1,89082.0,0.5,0.2,3.9,43.3,4.8,21.4,(X),21030,51815,40345,1136,51425,24700,18101,9869,2.2,2.43,2.46,5.1,14.0,9.9,14.6,24.7,24.2,12.7,11507,12518,40654,0.6,1.7,65.8,1.1,1.0,1.4,4.1,0.0,24.2,2.43
Cabarrus County, North Carolina,2016,22.7,20.3,11.5,89.0,24.4,6.6,10.0,71.0,34.8,3.7,29.0,16087,90.8,28.5,28.5,9.8,5.8,192296.0,1.1,0.5,4.6,37.7,6.5,26.7,(X),28721,78726,63386,2818,81013,22553,19270,9838,1.4,2.81,2.9,5.8,6.5,6.4,12.3,30.1,25.5,19.1,35371,13694,77421,3.3,3.7,77.8,1.4,2.0,1.8,3.5,0.0,6.4,2.81
Caldwell County, North Carolina,2016,33.4,9.4,4.2,78.5,21.4,15.5,10.2,67.7,26.3,4.9,32.3,2383,96.4,21.5,34.8,4.9,1.6,81623.0,0.6,0.1,3.5,43.5,5.0,20.9,(X),20921,50001,36301,2868,51118,17109,18268,9220,1.4,2.48,2.38,5.2,14.3,8.1,13.8,21.4,23.0,19.3,11511,10045,37750,1.2,2.6,66.4,2.6,1.3,4.7,2.6,0.0,18.6,2.48
Carteret County, North Carolina,2016,29.0,14.5,11.1,91.7,26.7,4.1,10.4,64.8,22.3,4.4,35.2,2415,95.4,18.6,29.5,4.2,2.9,68537.0,0.6,0.1,1.3,46.9,4.5,25.7,(X),27448,64471,51206,3227,59309,25816,19467,10721,4.8,2.49,2.42,5.2,8.2,7.1,15.3,27.7,25.8,15.9,10562,8170,49368,3.3,4.5,59.0,2.2,7.2,3.1,3.7,0.1,17.0,2.49
Catawba County, North Carolina,2016,30.4,14.4,6.5,85.6,22.4,10.0,11.8,69.9,24.2,4.9,30.1,9877,92.5,24.5,28.9,9.0,6.1,155461.0,0.9,0.2,5.8,41.1,5.8,23.9,(X),26182,65599,48913,2516,65390,18349,19060,10874,1.7,2.46,2.58,5.3,9.4,7.2,14.2,27.2,23.9,18.0,26770,14999,68334,2.7,3.2,67.7,3.0,3.5,2.8,4.9,0.0,12.2,2.46
Chatham County, North Carolina,2016,20.1,21.7,20.8,87.5,16.2,6.5,8.7,70.6,25.0,4.4,29.4,5421,91.5,19.9,24.6,12.4,7.9,68778.0,0.6,0.1,3.7,46.9,4.9,29.0,(X),39762,94054,62961,N,99344,29377,20941,11366,1.8,2.48,2.6,6.3,7.0,9.1,16.2,25.8,30.7,11.2,13238,9348,31111,0.4,2.8,74.5,1.2,2.7,1.3,0.7,0.0,16.3,2.48
Cleveland County, North Carolina,2016,30.1,10.9,9.0,83.7,22.8,11.6,10.9,70.7,26.2,7.3,29.3,1306,98.1,27.0,32.8,3.2,2.1,97113.0,0.3,0.1,1.1,41.5,5.6,24.0,(X),20123,50519,36992,2816,56180,12944,17275,9067,3.0,2.59,2.68,5.4,12.2,9.1,16.3,30.6,19.4,12.5,12547,10768,43178,0.7,1.9,72.1,2.1,1.6,2.7,0.9,0.0,18.0,2.59
Craven County, North Carolina,2016,23.8,17.2,9.2,87.0,22.9,8.1,13.9,69.0,30.9,4.3,31.0,4288,94.0,21.0,31.4,7.0,4.6,104190.0,1.1,0.2,2.1,36.1,6.9,23.7,(X),27559,67148,49938,3640,63132,28107,18127,11540,2.4,2.42,2.56,5.6,7.4,4.5,14.1,25.2,22.9,25.9,17491,8873,46407,1.5,6.7,70.0,2.2,1.9,3.2,3.4,0.0,11.0,2.42
Cumberland County, North Carolina,2016,25.9,16.7,8.7,90.8,28.1,6.2,11.4,62.6,29.5,3.4,37.4,20198,90.0,31.6,38.3,10.9,3.9,325841.0,3.9,0.3,2.8,31.5,8.0,21.8,(X),23107,57267,45205,2468,53129,25219,16859,10502,3.7,2.64,2.45,5.6,6.7,6.6,9.9,22.2,27.7,26.9,42817,21576,145299,5.2,3.5,63.8,2.7,5.3,3.4,7.9,0.0,8.3,2.64
Davidson County, North Carolina,2016,33.4,12.4,4.9,83.3,23.0,11.0,9.5,68.8,27.8,3.6,31.2,7002,94.9,21.5,29.8,6.7,4.9,164058.0,0.2,0.2,1.3,41.9,5.5,26.3,(X),23771,59441,45678,1804,60448,18236,19204,10392,2.9,2.59,2.62,5.3,11.5,7.8,14.9,27.2,22.2,16.5,24514,19069,73639,2.3,1.7,72.4,4.2,0.9,1.9,2.6,0.0,14.0,2.59
Durham County, North Carolina,2016,17.7,26.1,21.7,87.6,15.1,7.3,7.0,57.8,25.6,4.2,42.2,43719,84.4,39.2,42.8,13.3,7.3,294618.0,0.8,0.3,4.0,34.6,7.0,24.0,(X),32339,77836,53832,2160,76045,24223,19005,8962,0.9,2.45,2.27,5.4,4.2,4.7,9.3,23.3,32.2,26.3,46338,18776,133491,9.3,7.1,57.6,3.4,9.3,3.2,8.9,0.0,1.1,2.45
Forsyth County, North Carolina,2016,24.6,21.5,12.8,89.3,21.5,6.2,8.8,64.9,28.5,4.7,35.1,31404,90.5,31.8,36.6,12.4,8.0,364691.0,1.2,0.2,3.3,38.0,6.3,20.8,(X),29139,73006,48271,3912,72755,29375,18780,10463,1.7,2.52,2.39,5.5,7.9,6.7,11.0,25.2,27.6,21.7,59077,31856,163285,8.3,4.0,65.7,1.2,4.3,4.3,7.8,0.0,4.4,2.52
Gaston County, North Carolina,2016,30.1,15.2,6.5,84.1,22.1,11.4,10.2,67.4,25.9,4.8,32.6,11448,94.2,27.0,32.9,6.4,3.8,211753.0,0.6,0.2,4.0,40.0,6.1,26.0,(X),27526,69661,48711,2720,65778,29189,17969,10416,1.3,2.62,2.51,5.4,9.1,7.3,14.3,24.5,25.8,19.0,33938,19006,91553,2.6,2.7,70.7,2.0,2.5,3.4,5.1,0.0,11.0,2.62
Guilford County, North Carolina,2016,24.7,22.0,12.4,87.8,21.4,6.9,7.2,62.5,27.7,4.3,37.5,54013,88.8,36.0,37.9,7.6,4.9,511815.0,0.6,0.2,3.0,37.1,6.0,21.3,(X),28004,69367,47262,1716,72036,21104,18233,9267,1.3,2.57,2.39,5.4,6.1,5.3,11.8,26.9,28.8,21.0,81377,34050,226748,7.1,4.7,63.2,2.6,6.1,3.7,9.9,0.1,2.7,2.57
Harnett County, North Carolina,2016,29.7,13.2,6.7,87.3,25.7,8.2,12.0,70.4,33.3,4.3,29.6,6966,91.9,27.4,33.3,11.9,7.2,126620.0,2.6,0.1,6.0,33.7,7.7,30.3,(X),22096,62276,51637,3178,61513,21958,17583,8293,3.8,2.9,2.92,5.8,7.2,5.0,11.9,27.7,28.5,19.7,18499,9138,50611,0.1,4.4,69.4,2.1,0.3,2.2,1.1,0.0,20.3,2.9
Henderson County, North Carolina,2016,26.1,19.1,11.3,88.2,22.5,7.0,9.2,63.6,20.2,3.4,36.4,8532,91.8,18.5,29.7,9.7,7.5,110905.0,0.3,0.2,2.5,46.8,5.0,22.6,(X),29283,68263,54963,1620,66698,27347,20358,10075,2.7,2.46,2.07,5.6,4.6,4.1,15.6,31.5,26.4,17.7,19525,16464,56647,1.5,4.8,69.0,0.7,2.6,2.6,2.1,0.0,16.8,2.46
Iredell County, North Carolina,2016,29.6,19.0,7.4,87.9,21.7,7.4,10.3,71.1,29.2,5.5,28.9,10323,93.7,25.4,30.8,7.2,4.0,167493.0,0.7,0.2,2.1,40.4,5.7,24.3,(X),30683,79750,55891,2488,81399,20956,19080,10473,1.6,2.67,2.56,5.9,8.3,4.5,11.1,29.7,27.3,19.1,30954,14425,72167,3.0,2.6,69.1,2.0,2.3,1.9,3.6,0.0,15.4,2.67
Johnston County, North Carolina,2016,27.0,17.4,6.6,86.0,21.8,9.1,13.2,73.9,38.5,4.1,26.1,13038,92.3,24.6,31.5,13.1,8.8,182155.0,1.4,0.1,3.4,37.7,6.6,29.9,(X),23918,65036,54719,4642,66818,19753,18152,9405,0.9,2.84,2.92,5.6,6.9,5.2,13.5,32.7,25.2,16.5,34452,13493,72426,0.2,2.9,72.6,2.3,1.7,2.5,1.0,0.0,16.8,2.84
Lincoln County, North Carolina,2016,32.1,14.6,6.3,88.3,26.3,8.3,9.0,73.0,29.6,6.0,27.0,4452,93.8,17.7,25.5,7.1,3.9,79783.0,0.2,0.2,3.7,42.4,5.2,32.0,(X),26844,67290,49453,3888,72884,17953,18018,10724,1.8,2.6,2.39,5.7,10.3,8.4,15.9,28.9,23.8,12.8,16058,7703,34624,1.0,2.2,71.6,1.1,0.0,1.4,2.7,0.0,19.9,2.6
Mecklenburg County, North Carolina,2016,17.2,29.8,14.8,90.6,20.2,5.3,8.6,61.9,29.7,4.4,38.1,160304,83.5,35.2,39.9,12.6,5.1,1011774.0,1.1,0.5,4.8,34.7,7.0,25.9,(X),35332,89684,62978,3007,90845,24586,20047,9491,1.7,2.7,2.48,5.6,3.8,4.0,8.9,24.5,33.2,25.5,172944,49909,435023,9.3,6.9,59.7,1.3,11.9,2.7,6.6,0.1,1.5,2.7
Moore County, North Carolina,2016,21.8,23.3,14.5,92.8,22.4,4.4,10.9,65.3,25.9,3.2,34.7,3940,94.7,22.8,28.3,6.2,4.6,93070.0,0.5,0.1,0.8,45.0,5.5,23.8,(X),30763,72904,52279,1755,73868,25821,19155,7573,5.1,2.46,2.36,6.0,6.6,7.3,15.1,26.5,29.7,15.0,16115,12998,46292,0.4,3.1,69.0,1.9,2.8,4.3,3.4,0.0,15.1,2.46
Nash County, North Carolina,2016,33.9,11.6,8.7,82.9,17.2,11.7,11.5,67.7,26.1,2.2,32.3,4731,94.4,28.2,30.4,6.5,5.0,94385.0,0.3,0.2,4.5,41.2,5.7,22.0,(X),26185,64941,47902,1452,64004,18922,17901,7681,2.9,2.74,2.36,5.4,6.8,6.3,13.2,32.4,24.6,16.7,N,N,42566,1.3,1.9,62.2,4.1,1.2,5.1,4.1,0.2,19.9,2.74
New Hanover County, North Carolina,2016,23.2,26.5,12.5,92.2,21.1,6.1,8.7,55.8,23.0,3.6,44.2,9480,94.7,33.6,39.7,5.3,3.0,216430.0,0.5,0.2,1.2,38.4,5.2,20.0,(X),30605,70803,50028,501,74307,27606,18166,7839,2.5,2.47,2.16,5.3,4.6,3.3,10.1,26.4,33.0,22.6,37995,14296,108874,7.6,5.5,61.8,3.6,7.4,4.1,6.0,0.0,4.1,2.47
Onslow County, North Carolina,2016,29.2,13.3,5.3,90.7,31.1,7.1,11.7,69.3,33.6,4.1,30.7,6656,94.3,26.7,39.2,11.8,5.8,185755.0,2.8,0.5,3.3,26.4,9.7,20.1,(X),21489,56900,47150,2158,52974,22956,15464,10195,1.5,2.99,2.66,5.4,4.9,4.7,10.6,17.1,23.7,39.0,20391,10690,77793,1.5,10.4,57.3,2.0,3.9,3.0,4.0,0.0,17.8,2.99
Orange County, North Carolina,2016,12.8,26.0,32.1,91.5,14.7,4.3,6.0,61.1,29.5,3.7,38.9,16631,86.3,41.6,42.6,8.3,4.7,139807.0,0.5,0.2,2.7,33.6,4.8,22.6,(X),35790,94564,66423,2458,94010,31884,20386,7725,4.2,2.73,2.38,5.7,6.4,6.6,11.5,22.1,28.4,24.9,22502,10018,56964,8.6,5.2,61.1,1.8,6.4,3.9,6.1,0.0,6.9,2.73
Pitt County, North Carolina,2016,22.7,18.6,13.1,90.1,24.4,6.9,11.4,58.2,25.8,3.7,41.8,8696,94.0,43.2,44.0,5.9,3.8,175150.0,0.9,0.1,3.1,31.7,6.1,20.7,(X),25562,62944,46573,3175,65398,22196,18526,7602,2.1,2.56,2.31,5.0,3.3,4.8,8.0,25.4,26.1,32.3,24710,12240,77909,10.6,4.7,47.6,4.6,5.6,2.9,11.4,0.0,12.5,2.56
Randolph County, North Carolina,2016,32.2,11.8,4.5,80.9,23.7,12.0,8.8,68.5,25.5,3.4,31.5,8780,93.2,23.0,26.9,10.8,8.8,142588.0,0.5,0.1,4.2,41.1,5.8,24.3,(X),22075,55496,44836,1953,56932,14921,18697,11668,1.4,2.51,2.46,5.6,11.1,8.8,17.1,25.7,22.9,14.4,24653,16883,61545,1.6,1.9,67.7,2.6,1.1,2.2,2.5,0.2,20.3,2.51
Robeson County, North Carolina,2016,35.1,9.6,3.7,77.9,21.3,14.7,8.3,68.1,26.4,6.7,31.9,6311,94.8,36.9,42.0,8.3,6.8,134576.0,0.3,0.0,4.9,35.6,7.0,25.9,(X),18164,47961,34254,1790,52578,15801,15563,8760,0.8,2.91,2.84,5.2,13.1,10.7,15.6,25.7,22.5,12.5,12335,17992,52157,0.5,0.8,51.6,3.9,0.6,1.0,2.6,0.0,39.1,2.91
Rockingham County, North Carolina,2016,33.9,9.6,4.8,80.5,24.2,14.6,8.1,66.6,23.4,3.7,33.4,3445,95.8,25.1,30.8,5.9,4.3,91898.0,0.6,0.2,2.8,44.1,5.2,23.3,(X),21319,50217,40985,1418,51500,17641,18120,9939,1.0,2.37,2.32,5.4,10.8,9.1,18.9,21.2,26.8,13.3,14258,10683,43710,0.0,1.8,70.1,1.0,1.5,2.1,4.7,0.0,18.7,2.37
Rowan County, North Carolina,2016,31.9,14.9,4.9,86.1,25.5,8.9,8.9,66.9,24.2,5.1,33.1,6575,94.5,27.4,32.4,8.1,5.6,138694.0,0.4,0.2,3.1,40.3,5.7,23.6,(X),23866,62377,48379,3092,64100,17979,18600,8528,3.1,2.76,2.58,5.5,11.6,6.3,17.0,22.7,26.1,16.3,18571,15313,60797,3.7,1.9,72.3,1.5,1.6,2.4,2.9,0.0,13.7,2.76
Rutherford County, North Carolina,2016,33.1,12.5,5.7,82.6,19.9,11.2,11.4,59.2,20.5,4.0,40.8,2375,95.3,22.5,34.8,4.0,2.8,66701.0,0.3,0.1,2.2,44.1,5.1,27.1,(X),20240,46400,36121,1811,47709,18712,17704,6735,2.0,2.44,2.36,5.5,14.2,10.5,16.1,24.0,21.1,14.2,8905,10534,34100,0.7,0.8,72.9,2.8,1.1,2.0,0.5,0.0,19.2,2.44
Surry County, North Carolina,2016,29.7,9.9,5.1,76.2,20.9,12.5,10.6,70.5,25.3,5.5,29.5,4051,93.0,18.5,23.5,9.9,7.8,72767.0,0.4,0.3,2.1,43.0,5.4,26.6,(X),23657,59268,36802,2087,62391,17738,17277,10244,3.5,2.62,2.29,5.3,9.7,6.4,17.2,25.7,27.5,13.6,10408,9002,33710,2.2,2.4,61.9,1.9,1.1,2.5,1.9,0.0,26.0,2.62
Union County, North Carolina,2016,24.6,23.5,10.4,87.7,21.0,8.5,8.3,80.2,39.0,3.9,19.8,20510,89.4,24.0,29.8,10.7,6.9,217614.0,1.1,0.2,2.5,37.7,6.1,29.1,(X),33122,98685,71588,925,100312,19348,20791,9464,0.6,2.95,3.25,6.8,6.0,5.3,12.3,36.3,25.2,14.9,45685,15685,79391,0.9,2.2,87.3,0.7,0.4,0.6,1.7,0.0,6.1,2.95
Wake County, North Carolina,2016,14.2,33.7,19.5,93.0,17.3,3.8,8.3,66.5,33.6,3.5,33.5,142931,85.0,31.5,35.1,9.9,5.3,998576.0,1.1,0.3,3.4,35.6,6.5,25.0,(X),38515,100576,76097,1891,98651,26502,20724,8809,1.3,2.78,2.42,5.9,3.2,3.6,11.0,27.0,31.9,23.3,185231,57056,420486,8.3,10.8,58.8,1.0,9.2,2.8,5.9,0.0,3.2,2.78
Wayne County, North Carolina,2016,30.1,11.7,5.9,83.5,21.9,9.6,13.8,67.5,31.4,5.1,32.5,10835,89.7,27.7,36.5,10.9,6.1,124447.0,1.3,0.4,5.3,37.0,6.8,22.2,(X),23240,58296,41711,N,62077,18520,17076,8905,1.3,2.47,2.7,5.5,8.4,6.0,15.7,28.7,21.1,20.1,15808,11818,53400,0.6,1.6,57.4,4.8,2.8,3.3,3.5,0.1,26.0,2.47
Wilkes County, North Carolina,2016,33.3,10.3,4.8,82.4,24.1,11.4,9.9,68.0,22.1,6.8,32.0,3334,95.0,19.1,28.3,5.9,4.2,68888.0,0.1,0.1,2.7,44.1,5.0,20.9,(X),21522,51346,41332,N,50500,20890,18834,9470,0.0,2.42,2.12,5.5,17.7,11.0,12.3,24.1,22.8,12.1,11028,11288,33112,N,N,N,N,N,N,N,N,N,2.42
Wilson County, North Carolina,2016,34.0,12.9,5.5,79.3,18.2,12.0,8.5,64.0,29.7,4.9,36.0,5191,93.3,33.4,39.2,9.8,7.4,81617.0,0.4,0.1,7.0,40.3,6.0,20.7,(X),23385,60107,39036,N,64747,17070,17311,13020,1.8,2.46,2.8,5.3,8.8,10.3,13.3,27.1,28.9,11.6,11700,7332,35881,1.1,1.6,65.2,6.8,1.5,6.0,2.8,0.0,15.0,2.46
Skagit County, Washington,2016,26.1,15.7,8.7,89.6,28.0,5.8,11.2,65.6,23.8,4.7,34.4,12038,89.3,23.7,32.1,17.7,16.3,120475.0,0.4,0.0,7.7,41.3,6.2,26.3,(X),29946,77921,60983,2420,77562,25961,20175,10578,1.3,2.55,2.78,5.5,4.9,4.5,14.0,28.7,29.8,18.2,19946,11679,52526,2.0,3.4,74.7,3.2,4.8,2.8,2.4,0.1,6.7,2.55
Snohomish County, Washington,2016,24.3,21.4,10.1,92.2,26.0,5.2,10.5,68.2,29.4,5.6,31.8,122224,82.8,26.0,32.9,9.6,7.1,758649.0,0.4,0.1,3.1,37.8,6.3,31.8,(X),36135,95507,78716,3149,97333,25220,19159,10072,1.1,2.77,2.6,5.8,3.8,5.4,12.3,27.7,30.1,20.6,144566,46981,303563,5.9,4.1,65.5,2.5,9.0,3.5,4.7,0.1,4.7,2.77
Spokane County, Washington,2016,23.5,19.4,11.5,94.3,27.1,4.2,12.8,63.1,26.6,4.6,36.9,25244,93.6,26.6,35.1,5.2,3.7,485859.0,0.3,0.1,1.5,37.3,6.2,22.2,(X),28576,71032,53043,2664,70659,25508,18785,9334,1.3,2.49,2.43,5.9,5.7,5.9,13.1,25.3,26.2,23.9,80387,41518,210559,6.0,3.7,67.0,1.9,10.0,2.9,3.7,0.1,4.7,2.49
Thurston County, Washington,2016,20.6,22.3,12.9,93.9,25.9,4.1,12.2,66.9,27.6,3.5,33.1,21163,89.3,22.3,31.7,8.2,5.6,266311.0,1.0,0.1,1.5,38.8,5.9,24.6,(X),31582,79165,65783,4195,76683,29661,20013,9244,1.1,2.69,2.34,5.7,4.3,4.7,11.8,25.4,27.7,26.1,44795,21988,113314,3.1,3.1,67.0,2.3,6.2,4.1,4.0,0.1,9.9,2.69
Whatcom County, Washington,2016,25.1,21.0,11.8,91.3,23.6,5.0,9.8,58.2,22.9,3.3,41.8,24610,86.4,31.0,40.4,8.8,6.7,209729.0,0.3,0.1,3.6,36.8,5.5,22.5,(X),28261,71154,56411,2466,73490,25071,18299,8440,0.9,2.6,2.39,5.4,3.9,4.5,13.4,28.1,28.2,21.8,33798,16032,94189,5.2,2.3,67.0,3.3,7.3,3.9,4.3,0.1,6.4,2.6
Yakima County, Washington,2016,28.7,9.6,6.3,74.8,22.2,11.0,8.1,70.9,34.8,6.8,29.1,44969,81.5,31.2,37.4,47.7,46.1,247681.0,0.2,0.1,13.1,32.6,8.5,18.7,(X),22026,65675,48965,2832,67813,19966,18228,10731,0.7,3.04,3.04,5.5,7.5,6.2,11.7,28.8,26.8,19.0,31387,19478,86728,2.5,3.3,66.6,3.7,4.5,4.1,2.6,0.1,12.6,3.04
Berkeley County, West Virginia,2016,37.7,12.3,8.5,87.1,21.7,10.9,7.0,67.0,30.1,5.9,33.0,5061,94.8,24.8,29.0,3.9,1.5,110173.0,0.9,0.2,1.0,38.4,6.4,31.7,(X),29791,76559,57357,N,73486,25930,19527,11061,2.1,2.62,2.79,5.9,3.8,5.1,5.9,40.4,28.5,16.5,N,N,47352,3.8,11.7,64.3,1.4,1.0,2.7,1.7,0.3,13.2,2.62
Cabell County, West Virginia,2016,31.6,14.0,11.6,86.8,20.3,8.9,9.2,53.8,20.2,2.7,46.2,1271,98.4,30.5,43.7,1.4,0.8,96623.0,0.2,0.1,0.4,38.3,5.8,20.5,(X),24089,56454,38823,1091,58562,21017,19085,11633,2.3,2.43,2.25,5.6,9.7,8.0,12.1,21.3,27.8,21.1,10985,11893,46476,5.3,1.3,65.1,5.1,7.5,4.3,5.0,0.0,6.3,2.43
Harrison County, West Virginia,2016,38.2,16.4,8.8,88.4,18.5,7.9,6.6,64.8,25.0,5.2,35.2,N,99.3,23.6,29.3,1.5,0.6,68775.0,0.2,0.2,0.2,41.8,5.8,22.9,(X),29127,69040,47204,1797,73638,17557,17183,8683,2.3,2.53,2.14,5.7,13.5,8.7,18.5,27.6,19.3,12.4,9940,10621,31591,0.5,1.5,75.8,1.6,3.3,5.1,2.9,0.0,9.3,2.53
Kanawha County, West Virginia,2016,35.9,14.1,11.1,87.3,19.4,9.4,6.8,59.7,20.2,4.4,40.3,3195,98.1,24.6,30.4,1.1,0.4,189636.0,0.2,0.1,0.3,42.9,5.6,20.2,(X),28190,64515,45001,2479,67857,20928,18510,8754,4.4,2.44,2.03,5.7,13.0,7.0,15.3,24.5,24.1,16.0,26978,27366,92541,1.5,2.9,65.9,2.1,5.9,5.6,5.1,0.0,11.0,2.44
Monongalia County, West Virginia,2016,31.0,21.0,19.6,92.5,15.6,6.2,5.4,52.5,20.1,4.3,47.5,7034,92.6,42.4,52.2,2.0,0.8,102827.0,0.5,0.0,0.7,30.6,4.8,21.2,(X),31773,78117,50953,1736,76991,33081,18977,10452,1.7,2.68,2.39,5.2,8.1,6.2,10.0,22.4,30.6,22.7,13507,8632,44689,9.6,4.3,51.6,3.4,6.6,3.7,9.4,0.0,11.4,2.68
Raleigh County, West Virginia,2016,40.8,12.9,6.7,88.8,20.8,7.8,7.6,67.9,24.4,4.7,32.1,1740,97.3,20.5,29.6,1.5,0.7,78051.0,0.3,0.0,0.8,41.5,5.9,23.1,(X),23102,57049,45863,2831,58142,18136,18162,8616,0.9,2.53,2.14,5.6,13.8,9.3,15.5,27.8,20.1,13.5,9891,11733,35999,1.4,1.7,74.3,1.3,2.4,2.7,1.7,0.4,14.1,2.53
Wood County, West Virginia,2016,32.4,14.7,10.5,91.6,25.1,5.8,8.8,63.1,25.6,3.7,36.9,1209,97.8,24.2,29.4,1.0,0.5,86262.0,0.2,0.1,0.2,42.6,5.7,18.8,(X),27667,65006,48655,1333,65648,21547,20139,10343,3.3,2.5,2.24,5.9,13.9,6.9,11.8,24.6,24.9,17.8,12607,11542,40310,0.4,1.7,76.6,4.0,2.5,3.3,3.8,0.0,7.7,2.5
Brown County, Wisconsin,2016,31.7,20.6,7.7,93.2,20.0,4.0,13.2,61.0,26.7,4.4,39.0,14276,93.2,30.6,36.5,8.1,5.7,256621.0,0.8,0.2,3.6,36.8,6.7,19.4,(X),30681,75008,57783,2484,76629,21119,19807,9050,0.4,2.56,2.15,5.6,7.2,6.3,12.8,25.8,29.4,18.6,45285,23640,108691,4.4,4.9,64.3,6.1,6.1,3.2,9.4,0.0,1.6,2.56
Dane County, Wisconsin,2016,17.8,31.1,20.9,96.3,15.9,2.2,10.7,56.9,25.6,3.2,43.1,49345,89.9,35.7,41.4,6.2,4.3,516818.0,0.5,0.2,2.4,34.7,6.0,20.8,(X),37871,91445,70796,2663,89390,29180,20252,9801,0.9,2.62,2.01,5.5,5.0,5.9,11.2,22.4,30.3,25.2,94067,35909,228274,6.5,5.6,54.1,3.7,17.5,6.3,5.6,0.0,0.7,2.62
Dodge County, Wisconsin,2016,39.7,11.0,5.4,90.6,22.9,6.8,11.4,66.4,25.4,5.1,33.6,1663,98.0,22.5,34.7,4.5,3.7,88404.0,0.3,0.1,1.1,42.1,5.0,23.5,(X),27036,66121,55856,1514,66664,19194,19376,8118,0.6,2.54,2.17,5.8,10.3,7.9,14.6,28.7,23.2,15.3,15366,8548,37472,2.5,3.9,70.4,5.5,5.1,2.6,5.1,0.0,4.9,2.54
Eau Claire County, Wisconsin,2016,25.2,20.0,10.8,93.3,22.0,4.2,15.4,56.2,23.7,3.6,43.8,3547,96.2,34.6,41.7,2.2,1.7,101907.0,0.1,0.0,0.3,34.0,5.8,18.2,(X),27765,65878,49821,2079,69066,21563,18731,9952,1.9,2.57,2.07,5.5,8.9,4.8,13.3,23.7,25.0,24.3,17097,9053,43490,1.5,5.0,63.8,6.7,7.3,8.0,4.9,0.0,2.8,2.57
Fond du Lac County, Wisconsin,2016,37.2,16.7,7.1,91.5,20.0,5.8,10.6,69.8,28.2,5.8,30.2,4094,95.8,24.6,26.3,4.8,3.8,101968.0,0.2,0.0,2.1,41.1,5.6,20.7,(X),28890,71268,58310,2689,72610,20858,19533,11386,0.9,2.52,2.15,5.9,10.3,7.3,15.0,26.3,26.7,14.4,18554,10828,44718,3.7,3.1,72.0,5.0,5.3,1.9,5.6,0.0,3.4,2.52
Jefferson County, Wisconsin,2016,32.5,16.7,7.8,90.2,21.4,6.3,11.8,67.3,29.0,5.5,32.7,2547,96.4,27.6,33.9,6.9,5.6,84538.0,0.6,0.1,2.4,39.5,5.4,25.3,(X),26918,67493,58703,3879,69024,17261,19019,9082,2.0,2.6,2.31,5.8,8.1,6.1,13.6,29.1,24.8,18.4,13544,8030,35460,3.6,5.9,68.0,3.6,4.6,3.4,6.0,0.0,4.8,2.6
